1000 2000
0 255 15015498 
0 364 99430357 
0 678 88013893 
0 592 98199325 
0 309 65755659 
0 465 62631517 
1 320 68342134 
1 224 55795193 
1 819 68219837 
1 825 89348639 
1 516 83489965 
2 272 21725112 
2 962 29447616 
2 961 65495316 
2 794 78280107 
3 790 70336279 
3 257 20387346 
3 50 61989422 
3 677 35259722 
4 175 71282850 
4 784 96981656 
4 834 52779682 
4 921 83731203 
4 497 74496190 
5 475 58921610 
6 422 48092019 
6 562 97648133 
6 735 28410494 
6 491 81162312 
7 504 41698584 
7 572 90888113 
7 271 69275283 
8 426 36832560 
8 451 59826903 
8 588 55236445 
9 856 78880362 
9 818 98886604 
9 534 66182488 
9 885 63520005 
10 843 3114016 
10 898 45765568 
10 130 63751026 
10 969 38216980 
11 995 74782771 
11 906 3153689 
11 842 14537665 
11 179 15014313 
12 155 14601781 
12 568 25711398 
12 176 72024597 
13 300 9217218 
13 961 88878955 
13 692 96501217 
13 359 12065762 
13 388 27977847 
13 158 35750636 
14 18 64118676 
14 827 77487094 
14 725 16246173 
15 492 37756168 
15 418 8642939 
15 910 32478362 
15 452 75026220 
15 442 7519501 
15 120 78383532 
16 26 67652242 
16 213 59638146 
16 801 88884144 
16 704 10507701 
17 69 98154696 
17 987 92260238 
17 43 49165747 
17 454 67732368 
17 548 6672790 
18 84 18923146 
18 828 32257097 
18 440 19164892 
18 88 95448166 
18 298 96289910 
19 715 16372009 
19 394 52899785 
19 612 91359110 
19 184 79418656 
20 857 48823688 
20 740 61785064 
20 433 89354427 
20 213 44799605 
21 298 28074204 
21 915 54898242 
21 239 59843903 
21 761 57706621 
21 521 62747574 
21 295 93326811 
22 675 13171374 
22 381 92780201 
22 93 8275884 
22 51 66799615 
22 150 88175362 
22 145 31475099 
23 835 2950248 
23 408 21963589 
23 27 73041505 
23 876 56323550 
24 110 78349174 
24 32 27951828 
24 484 82873452 
25 429 27139976 
25 980 24265018 
26 217 43404327 
26 715 99825319 
26 687 94639747 
26 701 90977584 
26 143 59205296 
27 526 40057446 
27 525 37641316 
27 365 57474021 
27 390 59345447 
28 768 59251715 
28 332 5731893 
28 826 31515437 
28 515 86945312 
28 507 56909745 
28 424 78428871 
29 788 75294644 
29 299 62028847 
29 518 10005642 
29 325 41712759 
30 350 25847543 
30 937 1586758 
31 752 36849211 
31 814 66932412 
31 682 50777457 
31 285 91219102 
31 603 64897829 
32 644 97422150 
32 455 79844041 
33 673 90057790 
33 769 14720428 
34 894 38527932 
34 503 21767769 
34 218 31528108 
34 374 36652850 
34 629 19878835 
35 931 82049004 
35 588 20423248 
36 941 39464453 
37 819 45530013 
37 540 15328333 
38 124 49221682 
39 605 29479062 
39 217 72963774 
39 121 42692328 
39 885 28439967 
40 713 26813713 
40 576 93165356 
41 886 87237145 
41 510 25288078 
42 496 96017940 
42 485 15480731 
42 387 20284556 
43 77 22899498 
43 662 50784625 
43 453 14300907 
43 734 97677871 
44 818 41661041 
44 554 1175359 
44 963 17044750 
45 264 86996192 
45 685 65199432 
45 487 45123490 
45 789 96892161 
45 836 75004214 
45 839 24492127 
47 874 44584539 
47 268 76069969 
47 116 30694843 
48 393 60158371 
48 787 31991432 
48 883 13810179 
48 544 58638131 
49 390 67683419 
49 405 53077472 
50 682 72708272 
51 340 851410 
51 59 99685312 
52 374 54530813 
52 842 4974032 
52 572 18985498 
52 267 84540582 
52 906 90501873 
53 92 88729679 
53 892 16092097 
53 119 95352078 
53 197 39650472 
53 334 52993625 
53 986 39938876 
53 724 92663818 
54 196 11185350 
55 303 73956762 
55 629 54353371 
55 179 87140480 
55 136 82415767 
55 299 94434570 
55 497 51045958 
55 314 3302386 
55 404 44468810 
56 703 65626681 
56 89 40920587 
57 818 3157300 
57 137 49206034 
58 582 32952142 
58 145 82147877 
58 643 14044056 
59 129 90940137 
59 876 94700059 
59 161 72235148 
59 250 89898395 
60 337 76311091 
60 694 83219701 
60 306 86919948 
60 246 88647103 
61 99 50173312 
61 776 62337171 
61 255 61890924 
62 101 33408339 
62 188 76251114 
62 445 57023448 
62 383 11911999 
63 589 32196336 
63 864 44475078 
63 727 20692553 
63 827 23820068 
63 724 1895057 
64 166 36290461 
64 537 17013566 
64 163 81499702 
65 636 86021523 
66 77 86931302 
66 180 14390087 
66 926 65968767 
67 425 22565205 
67 390 87032210 
67 845 95948814 
68 624 6058702 
68 419 67375387 
68 266 90276350 
69 441 34851104 
69 588 70460752 
69 296 64860660 
69 476 72266564 
69 87 79926166 
69 862 60804316 
70 969 98875501 
70 428 73926007 
70 286 37652435 
71 660 56828855 
71 104 55399126 
71 402 96086638 
71 432 23642558 
71 734 56671321 
71 282 73592821 
72 121 79698396 
72 226 61030471 
72 743 99036763 
72 747 6142234 
73 547 44590168 
73 837 65834749 
74 660 12288209 
74 100 56597218 
74 375 30390235 
75 251 92423498 
75 500 42307735 
75 354 27034654 
76 906 38459942 
76 305 99981504 
76 859 17176065 
76 188 16988408 
76 173 32486105 
76 640 79150750 
77 830 50272707 
77 291 17083572 
77 470 62997657 
77 671 21002811 
78 125 8743865 
78 917 94998645 
79 405 71654469 
79 847 68869578 
80 909 50047002 
80 262 79418529 
80 610 95296439 
80 968 9389236 
81 312 11481474 
81 319 13501381 
81 993 77561659 
82 893 67753075 
82 236 57115945 
82 576 3818481 
82 746 50377560 
83 766 28304816 
83 886 57722182 
83 304 11484160 
83 193 47510212 
84 935 26267572 
84 264 91486834 
84 199 41593763 
84 465 33550571 
84 496 74048665 
84 102 34164673 
84 242 9017183 
84 669 94130640 
84 99 62312778 
84 501 76090793 
85 550 81397545 
85 706 47840674 
85 561 44334451 
86 219 99023379 
86 935 48392400 
86 976 61203408 
87 140 82032123 
87 396 2576097 
87 167 44033480 
87 656 94041605 
87 737 77375288 
87 241 57151275 
88 220 3218 
88 685 20395584 
88 857 83828043 
89 659 71714298 
89 167 92812969 
89 809 12717723 
89 792 43060487 
89 718 73856671 
89 955 97463181 
90 501 24104207 
90 936 65256470 
90 387 83399915 
90 98 61071587 
90 673 32036781 
90 302 53557942 
91 516 46024889 
91 899 61157467 
91 458 68841123 
91 927 18702096 
93 312 24641409 
93 896 18556898 
95 416 85324066 
95 125 70059673 
95 357 78181657 
96 320 98022264 
96 923 19450698 
96 770 26688363 
96 848 23816789 
96 717 90274748 
97 162 18909606 
98 860 81512029 
98 586 28563525 
98 524 2535165 
99 849 27918870 
99 557 69364896 
99 692 79879440 
100 750 82793264 
100 337 27079956 
100 322 28606910 
100 773 32950181 
100 532 69543025 
100 591 52694598 
100 634 63826147 
101 970 1225313 
101 662 94911013 
102 495 23374258 
103 440 53308352 
103 939 68876689 
103 767 93145523 
103 564 92806104 
103 934 48813586 
103 164 68371311 
103 143 83500514 
104 547 39518740 
104 324 73125369 
104 131 29756522 
104 257 73534627 
104 446 42631428 
105 398 49215228 
105 674 11888121 
106 198 82592734 
107 706 42294549 
107 648 76041080 
107 497 27051178 
107 816 43632888 
107 802 69504506 
107 804 38919500 
107 257 85800525 
108 640 94942106 
108 564 60005270 
108 180 37314351 
108 277 44850648 
108 601 20971709 
108 719 51634019 
109 148 80101562 
109 584 25709533 
109 960 36087933 
109 431 93391725 
110 312 30673736 
110 426 31476415 
110 281 68550684 
110 716 39419020 
111 385 45466171 
111 133 21064948 
111 816 91501094 
111 628 99346833 
112 969 58581145 
112 224 69111571 
112 704 20312874 
112 310 64932299 
113 787 72441427 
113 614 86774852 
113 631 8997165 
113 918 32528568 
114 427 94168972 
114 570 55560996 
114 223 23985653 
114 777 84802488 
114 473 70864455 
115 891 52014789 
116 627 67749695 
116 421 18752577 
116 301 22560481 
118 739 87201261 
119 742 2846967 
119 432 73192667 
119 183 71327765 
119 574 70504414 
120 186 4231700 
120 529 13737158 
120 474 66168748 
120 754 47359509 
120 741 99946128 
120 586 97193655 
121 624 34966590 
121 131 46730066 
121 365 70593089 
122 814 14123005 
122 524 64355257 
122 939 9501956 
122 295 91621650 
122 467 62995083 
123 719 52331326 
124 763 2061055 
124 938 42363611 
124 472 55745644 
124 558 33274211 
125 331 50403464 
125 186 46515812 
125 986 7222853 
125 952 55387371 
125 489 3917806 
125 423 32810318 
125 879 71025268 
126 892 61548392 
126 778 14183008 
126 649 18838344 
126 651 35346097 
127 700 31958898 
127 716 37859625 
127 450 9133401 
127 598 36564656 
129 597 59510853 
129 676 73030215 
129 783 87568480 
129 310 58749791 
129 723 40208141 
130 626 23936275 
130 253 75984403 
131 149 84832136 
131 992 17986421 
131 913 47541576 
131 287 36272918 
131 693 69380366 
131 416 8774560 
131 420 19380124 
132 240 21442915 
132 883 44058615 
132 961 50406668 
132 991 94340607 
133 561 21972663 
133 577 61551261 
133 184 11216867 
133 235 85911561 
134 388 63925658 
136 839 62236591 
136 621 38535295 
136 206 86752374 
136 518 8955489 
136 872 78332272 
137 680 90909625 
137 730 36728738 
137 892 62983341 
138 290 17937809 
138 280 70540600 
138 516 92319328 
139 921 29701980 
139 472 53008306 
139 265 13385597 
140 551 59286388 
140 916 69337661 
140 333 18998403 
141 302 12299013 
141 470 57219641 
141 351 82395675 
142 184 75125072 
142 380 41620921 
143 989 55212356 
143 724 11036101 
143 787 5767225 
143 720 49294409 
144 294 90941234 
144 169 35046334 
145 425 66322372 
145 880 35937351 
146 527 44384928 
146 808 52017963 
146 395 8814178 
146 449 68123851 
146 732 84409726 
146 927 34217511 
147 250 88119632 
147 690 9307613 
147 963 8664552 
147 658 83622978 
148 544 89146392 
149 508 33432535 
149 644 44926287 
149 817 12907348 
149 298 99839437 
149 956 84904720 
150 862 36181160 
151 527 45707895 
151 996 26409167 
152 967 34398817 
152 538 71189179 
152 376 25409826 
152 554 96978304 
152 352 77451503 
152 685 91574447 
153 282 85309482 
153 337 26330731 
153 803 6025050 
153 168 29750085 
153 782 78160444 
154 877 17788789 
154 890 74956591 
154 339 31095939 
154 654 23228404 
154 275 6432788 
155 479 74271025 
155 649 90784570 
156 163 82009448 
156 317 61336389 
157 943 6726861 
157 992 89430890 
157 283 51099801 
158 674 15824232 
158 718 35791895 
158 909 76566441 
159 620 76746546 
159 986 75609514 
159 487 73652367 
160 656 96290091 
160 923 57374613 
160 747 78157962 
160 174 40108619 
161 894 24752285 
161 435 25413979 
161 176 68768830 
162 898 77609851 
